account_name,account_type,date,value,deposited,mortgage_balance,purchase_price,original_deposit,is_shared,ownership_pct
Emergency Fund,current,2026-05-06,15.15
House,house,2026-05-06,27927.00,,,21500.00,,false,
Kraken,investment,2024-10-01,232.48,432.00
Kraken,investment,2024-11-05,423.66,400.00
Kraken,investment,2024-12-02,795.85,600.00
Kraken,investment,2025-01-03,910.66,700.00
Kraken,investment,2025-02-04,1017.89,800.00
Kraken,investment,2025-03-05,969.25,900.00
Kraken,investment,2025-03-31,993.07,1000.00
Kraken,investment,2025-05-04,1198.54,1100.00
Kraken,investment,2025-06-02,1392.44,1200.00
Kraken,investment,2025-07-01,1490.71,1300.00
Kraken,investment,2025-08-04,1766.50,1400.00
Kraken,investment,2025-09-02,1812.18,1500.00
Kraken,investment,2025-10-02,2036.64,1600.00
Kraken,investment,2025-11-03,1956.13,1700.00
Kraken,investment,2025-12-03,1775.85,1800.00
Kraken,investment,2026-01-06,1869.80,1900.00
Kraken,investment,2026-02-12,1398.91,2000.00
Kraken,investment,2026-05-06,1908.33,2100.00
Monzo,current,2024-04-02,5377.00
Monzo,current,2024-05-01,1748.97
Monzo,current,2024-06-03,856.28
Monzo,current,2024-07-02,913.87
Monzo,current,2024-08-05,826.75
Monzo,current,2024-09-10,995.65
Monzo,current,2024-10-01,1782.57
Monzo,current,2024-11-05,1075.79
Monzo,current,2024-12-02,1728.13
Monzo,current,2025-01-03,3615.00
Monzo,current,2025-02-04,1417.00
Monzo,current,2025-03-05,1138.00
Monzo,current,2025-03-31,2081.00
Monzo,current,2025-06-02,2577.00
Monzo,current,2025-07-01,2220.00
Monzo,current,2025-08-04,2700.00
Monzo,current,2025-09-02,2397.00
Monzo,current,2025-10-02,1978.00
Monzo,current,2025-11-03,989.00
Monzo,current,2025-12-03,1178.00
Monzo,current,2026-01-06,1702.00
Monzo,current,2026-02-12,1193.00
Monzo,current,2026-05-06,1630.00
Retiready,pension,2024-03-06,2866.00
Retiready,pension,2024-04-03,3646.00
Retiready,pension,2024-05-01,4281.00
Retiready,pension,2024-06-03,5044.00
Retiready,pension,2024-07-02,5913.00
Retiready,pension,2024-08-05,6542.00
Retiready,pension,2024-09-10,8002.00
Retiready,pension,2024-10-01,8234.00
Retiready,pension,2024-11-05,8995.00
Retiready,pension,2024-12-02,52699.00
Retiready,pension,2025-01-03,53253.00
Retiready,pension,2025-02-04,55255.00
Retiready,pension,2025-03-05,54064.00
Retiready,pension,2025-03-31,53590.00
Retiready,pension,2025-05-04,56898.00
Retiready,pension,2025-06-02,59988.00
Retiready,pension,2025-07-01,61960.00
Retiready,pension,2025-08-04,64639.00
Retiready,pension,2025-09-02,66451.00
Retiready,pension,2025-10-02,69099.00
Retiready,pension,2025-11-03,74083.00
Retiready,pension,2025-12-03,73963.00
Retiready,pension,2026-01-06,75350.00
Retiready,pension,2026-02-12,77187.00
Retiready,pension,2026-05-06,80666.00
Trading212,investment,2026-05-06,270.65,160.00
Vanguard,investment,2026-02-12,8112.51,5000.00
